URL,Author Name,Likes,Comments,Post Title,Caption,Date Published,Images,Author Avatar,Stars,Author Collect Nr,Author Fans Nr,Author Note Nr,Video URL,User URL
6572c4b3000000003a00b725,心莫鸢,1,0,上纽市场营销和零售offer火热出炉,3 亿人的生活经验，都在小红书,N/A,images/6572c4b3000000003a00b725.jpg,avatars/6572c4b3000000003a00b725.jpg,1,0,0,0,N/A,/search_result/6572c4b3000000003a00b725?xsec_token=ABoFVApzA4I27eZvHs5xgLfYfOrndrUK3AQwB_ipPNqZM=&xsec_source=
62272e89000000002103ce15,美研老阿姨Eva讲申请,66,0,上海纽约大学项目解析:营销与零售科学MMRS,3 亿人的生活经验，都在小红书,N/A,images/62272e89000000002103ce15.jpg,avatars/62272e89000000002103ce15.jpg,1,0,0,0,N/A,/search_result/62272e89000000002103ce15?xsec_token=ABKx2s-Dc7YWICQ7LD6Y5QooDJ6uwOAo4JixhvMB7VnCo=&xsec_source=
664e11e90000000016013819,Iris林小西🐱🌸,43,0,毕业季太卷了，上纽大的营销实操值得表扬,3 亿人的生活经验，都在小红书,N/A,images/664e11e90000000016013819.jpg,avatars/664e11e90000000016013819.jpg,1,0,0,0,N/A,/search_result/664e11e90000000016013819?xsec_token=ABJ5wq4QQbOfs71-6gfrlg038jU-SBmL4ey-GRnwCi25I=&xsec_source=
6579a9ca0000000006020dfa,Camellia,30,0,Go violet💜第一个offer是NYU的！,3 亿人的生活经验，都在小红书,N/A,images/6579a9ca0000000006020dfa.jpg,avatars/6579a9ca0000000006020dfa.jpg,1,0,0,0,N/A,/search_result/6579a9ca0000000006020dfa?xsec_token=ABefon7GFy1Mgf4Y4XdxWQV-mipq7VcPXeeaKbAz7712Y=&xsec_source=
6703a702000000001902d59d,邵主任讲升学,5,0,3.上海纽约大学目前开设了哪些专业？,3 亿人的生活经验，都在小红书,N/A,images/6703a702000000001902d59d.jpg,avatars/6703a702000000001902d59d.jpg,1,0,0,0,N/A,/search_result/6703a702000000001902d59d?xsec_token=ABIPJF7hxaxWASVq0niwXdNjIAHcU7l4hxjcHdKIU4dBw=&xsec_source=
658bf47b000000001101c78b,辅无忧海外留学生论文辅导,赞,0,上海纽约大学市场营销留学课程辅导补课补习,3 亿人的生活经验，都在小红书,N/A,images/658bf47b000000001101c78b.jpg,avatars/658bf47b000000001101c78b.jpg,1,0,0,0,N/A,/search_result/658bf47b000000001101c78b?xsec_token=ABz26JgYbdnCPrwehPwxZUl-9rfcUC1P26z6wNx6_6UWo=&xsec_source=
6473d619000000001300603d,Little Song✨,154,0,💜以后就是纽约大学市场营销硕士啦🎓,3 亿人的生活经验，都在小红书,N/A,images/6473d619000000001300603d.jpg,avatars/6473d619000000001300603d.jpg,1,0,0,0,N/A,/search_result/6473d619000000001300603d?xsec_token=ABUQH5a7VNaL9O_1H3xvEaMJjY8BWz1E2quctTJ_6WHsY=&xsec_source=
66f5ea02000000002c01718c,bobo学长讲北美留学,48,0,us美国市场营销硕士申请难度梯队,3 亿人的生活经验，都在小红书,N/A,images/66f5ea02000000002c01718c.jpg,avatars/66f5ea02000000002c01718c.jpg,1,0,0,0,N/A,/search_result/66f5ea02000000002c01718c?xsec_token=ABJ6jgJAIKTRpo9w6DnBG1Lo8hn02E-EoMjRp10Est144=&xsec_source=
66a0f883000000000d00d341,奥大毕业学姐Cony,72,0,新西兰🇳🇿 市场营销毕业生起薪即中位数😉,3 亿人的生活经验，都在小红书,N/A,images/66a0f883000000000d00d341.jpg,avatars/66a0f883000000000d00d341.jpg,1,0,0,0,N/A,/search_result/66a0f883000000000d00d341?xsec_token=ABURZ4lSHv17x_xNOUTCJNgfXvPpINEd4BHznmhW2-Nco=&xsec_source=
657c16570000000016004d4a,Eli学长留学咨询,15,0,25w奖学金？！NYU Stern 营销类硕士录取！,3 亿人的生活经验，都在小红书,N/A,images/657c16570000000016004d4a.jpg,avatars/657c16570000000016004d4a.jpg,1,0,0,0,N/A,/search_result/657c16570000000016004d4a?xsec_token=ABJqaAsUa6sHBicTP0ZBXm7FAwBpQhdbI30iqzCnIU0rg=&xsec_source=
